"home_team","away_team","def_team_q1","def_team_q3","def_team_ot","def_direction_q1","def_direction_q3","def_direction_ot","file_name","game_id"
"NYJ","MIA","MIA","NYJ",NA,"west","west",NA,"57110_NYJ_Gamebook_2016.pdf","MIA_NYJ_2016"
"BLT","PHI","BLT","PHI",NA,"west","west",NA,"57111_BAL_Gamebook_2016.pdf","PHI_BLT_2016"
"BUF","CLV","BUF","CLV",NA,"west","west",NA,"57112_BUF_Gamebook_2016.pdf","CLV_BUF_2016"
"CHI","GB","CHI","GB",NA,"south","north",NA,"57113_CHI_Gamebook_2016.pdf","GB_CHI_2016"
"DAL","TB","TB",NA,NA,"south",NA,NA,"57114_DAL_Gamebook_2016.pdf","TB_DAL_2016"
"HST","JAX","JAX","HST",NA,"north","north",NA,"57115_HOU_Gamebook_2016.pdf","JAX_HST_2016"
"KC","TEN","KC","TEN",NA,"west","east",NA,"57116_KC_Gamebook_2016.pdf","TEN_KC_2016"
"MIN","IND","MIN","IND",NA,"east",NA,NA,"57117_MIN_Gamebook_2016.pdf","IND_MIN_2016"
"NYG","DET","DET","NYG",NA,"north","north",NA,"57118_NYG_Gamebook_2016.pdf","DET_NYG_2016"
"ARZ","NO","NO","ARZ",NA,"north","south",NA,"57119_ARI_Gamebook_2016.pdf","NO_ARZ_2016"
"ATL","SF","ATL","SF",NA,"east","west",NA,"57120_ATL_Gamebook_2016.pdf","SF_ATL_2016"
"DEN","NE","DEN","NE",NA,NA,"south",NA,"57121_DEN_Gamebook_2016.pdf","NE_DEN_2016"
"SD","OAK","OAK","SD",NA,"east","west",NA,"57122_SD_Gamebook_2016.pdf","OAK_SD_2016"
"CIN","PIT","PIT","CIN",NA,"north","north",NA,"57123_CIN_Gamebook_2016.pdf","PIT_CIN_2016"
"WAS","CAR","WAS","CAR",NA,"west","east",NA,"57124_WAS_Gamebook_2016.pdf","CAR_WAS_2016"
"PHI","NYG","PHI","NYG",NA,"north","south",NA,"57125_PHI_Gamebook_2016.pdf","NYG_PHI_2016"
"BUF","MIA","MIA","BUF","MIA","west","west","west","57126_BUF_Gamebook_2016.pdf","MIA_BUF_2016"
"CAR","ATL","CAR","ATL",NA,"west","west",NA,"57127_CAR_Gamebook_2016.pdf","ATL_CAR_2016"
"CHI","WAS","CHI","WAS",NA,"south","north",NA,"57128_CHI_Gamebook_2016.pdf","WAS_CHI_2016"
"CLV","SD","CLV","SD",NA,NA,"west",NA,"57129_CLE_Gamebook_2016.pdf","SD_CLV_2016"
"GB","MIN","MIN","GB",NA,"south",NA,NA,"57130_GB_Gamebook_2016.pdf","MIN_GB_2016"
"JAX","TEN","TEN","JAX",NA,"south","north",NA,"57131_JAC_Gamebook_2016.pdf","TEN_JAX_2016"
"NE","NYJ","NE","NYJ",NA,"north","south",NA,"57132_NE_Gamebook_2016.pdf","NYJ_NE_2016"
"NO","TB","TB","NO",NA,"south","north",NA,"57133_NO_Gamebook_2016.pdf","TB_NO_2016"
"OAK","IND","OAK","IND",NA,"south","north",NA,"57134_OAK_Gamebook_2016.pdf","IND_OAK_2016"
"LA","SF","LA","SF",NA,"east",NA,NA,"57135_LA_Gamebook_2016.pdf","SF_LA_2016"
"SEA","ARZ","SEA","ARZ",NA,"south","south",NA,"57136_SEA_Gamebook_2016.pdf","ARZ_SEA_2016"
"HST","CIN","HST","CIN",NA,"north","south",NA,"57137_HOU_Gamebook_2016.pdf","CIN_HST_2016"
"PIT","BAL","PIT","BLT",NA,"south","north",NA,"57138_PIT_Gamebook_2016.pdf","BAL_PIT_2016"
"KC","DEN","KC","DEN",NA,"east","west",NA,"57139_KC_Gamebook_2016.pdf","DEN_KC_2016"
"DAL","DET","DET","DAL",NA,"south","north",NA,"57140_DAL_Gamebook_2016.pdf","DET_DAL_2016"
"ATL","NO","ATL","NO",NA,"east","west",NA,"57141_ATL_Gamebook_2016.pdf","NO_ATL_2016"
"CIN","BAL","CIN","BLT",NA,"south","south",NA,"57142_CIN_Gamebook_2016.pdf","BAL_CIN_2016"
"DET","GB","GB","DET",NA,"west","west",NA,"57143_DET_Gamebook_2016.pdf","GB_DET_2016"
"IND","JAX","JAX","IND",NA,"north","north",NA,"57144_IND_Gamebook_2016.pdf","JAX_IND_2016"
"MIA","NE","MIA","NE",NA,"west",NA,NA,"57145_MIA_Gamebook_2016.pdf","NE_MIA_2016"
"MIN","CHI","CHI","MIN",NA,"west",NA,NA,"57146_MIN_Gamebook_2016.pdf","CHI_MIN_2016"
