,home_team,away_team,season.x,def_team_q1,def_team_q3,def_direction_q1,def_direction_q3,game_id.x,home_team_off_direction1,home_team_off_direction3,home_team_off_direction2,home_team_off_direction4,away_team_off_direction1,away_team_off_direction3,away_team_off_direction2,away_team_off_direction4,game_id.y,game_type,week,gameday,weekday,gametime,away_score,home_score,location,roof,surface,stadium.y,n,ws,wd,HomeTeam,RoofType,Longitude,Latitude,StadiumAzimuthAngle,wind_compass
180,LA,BUF,2016,BUF,LA,west,,BUF_LA_2016,west,NA,east,NA,east,NA,west,NA,2016_05_BUF_LA,REG,5,10/9/16,Sunday,16:25,30,19,Home,outdoors,grass,Los Angeles Memorial Coliseum,6,10.16166667,273.3295631,LAR,Outdoor,-118.287778,34.014167,90,E
181,GB,CHI,2016,GB,CHI,south,,CHI_GB_2016,north,NA,south,NA,south,NA,north,NA,2016_07_CHI_GB,REG,7,10/20/16,Thursday,20:25,10,26,Home,outdoors,grass,Lambeau Field,6,10.16,334.8960906,GB,Outdoor,-88.062222,44.501389,0,N
182,CHI,KC,2019,KC,CHI,south,,KC_CHI_2019,south,NA,north,NA,north,NA,south,NA,2019_16_KC_CHI,REG,16,12/22/19,Sunday,20:20,26,3,Home,outdoors,grass,Soldier Field,6,10.15833333,208.338039,CHI,Outdoor,-87.6167,41.8623,353.9,S
183,PHI,WAS,2018,WAS,PHI,north,north,WAS_PHI_2018,north,south,south,north,south,north,north,south,2018_13_WAS_PHI,REG,13,12/3/18,Monday,20:15,13,28,Home,outdoors,grass,Lincoln Financial Field,6,10.15833333,263.1904183,PHI,Outdoor,-75.1675,39.900833,351,E
184,GB,DET,2018,GB,DET,north,,DET_GB_2018,south,NA,north,NA,north,NA,south,NA,2018_17_DET_GB,REG,17,12/30/18,Sunday,13:00,31,0,Home,outdoors,grass,Lambeau Field,6,10.12833333,206.6875187,GB,Outdoor,-88.062222,44.501389,0,S
185,NE,KC,2019,KC,NE,south,south,KC_NE_2019,south,north,north,south,north,south,south,north,2019_14_KC_NE,REG,14,12/8/19,Sunday,16:25,23,16,Home,outdoors,grass,Gillette Stadium,16,10.120625,202.5288968,NE,Outdoor,-71.264,42.091,343,S
186,PHI,DET,2019,DET,PHI,north,south,DET_PHI_2019,north,north,south,south,south,south,north,north,2019_03_DET_PHI,REG,3,9/22/19,Sunday,13:00,27,24,Home,outdoors,grass,Lincoln Financial Field,13,10.09076923,192.6325348,PHI,Outdoor,-75.1675,39.900833,351,S
187,CLE,NYG,2016,CLE,NYG,east,east,NYG_CLI_2016,west,east,east,west,east,west,west,east,2016_12_NYG_CLE,REG,12,11/27/16,Sunday,13:00,27,13,Home,outdoors,grass,FirstEnergy Stadium,7,10.04857143,190.0895128,CLE,Outdoor,-81.699444,41.506111,56.1,S
188,CHI,NYG,2019,CHI,NYG,south,south,NYG_CHI_2019,north,south,south,north,south,north,north,south,2019_12_NYG_CHI,REG,12,11/24/19,Sunday,13:00,14,19,Home,outdoors,grass,Soldier Field,7,10.04714286,228.9065557,CHI,Outdoor,-87.6167,41.8623,353.9,E
189,GB,ATL,2018,GB,ATL,north,,ATL_GB_2018,south,NA,north,NA,north,NA,south,NA,2018_14_ATL_GB,REG,14,12/9/18,Sunday,13:00,20,34,Home,outdoors,grass,Lambeau Field,7,10.04,242.8777423,GB,Outdoor,-88.062222,44.501389,0,E
190,BUF,NYJ,2019,BUF,NYJ,west,east,NYJ_BUF_2019,east,east,west,west,west,west,east,east,2019_17_NYJ_BUF,REG,17,12/29/19,Sunday,13:00,13,6,Home,outdoors,astroturf,New Era Field,7,10.03,50,BUF,Outdoor,-78.787,42.774,302.1,W
191,LA,WAS,2017,WAS,LA,west,,WAS_LA_2017,west,NA,east,NA,east,NA,west,NA,2017_02_WAS_LA,REG,2,9/17/17,Sunday,16:25,27,20,Home,outdoors,grass,Los Angeles Memorial Coliseum,6,9.975,251.7049533,LAR,Outdoor,-118.287778,34.014167,90,E
192,CHI,MIN,2017,MIN,CHI,north,south,MIN_CHI_2017,north,north,south,south,south,south,north,north,2017_05_MIN_CHI,REG,5,10/9/17,Monday,20:30,20,17,Home,outdoors,grass,Soldier Field,6,9.971666667,35.25763819,CHI,Outdoor,-87.6167,41.8623,353.9,N
193,CHI,TEN,2016,TEN,CHI,north,north,TEN_CHI_2016,north,south,south,north,south,north,north,south,2016_12_TEN_CHI,REG,12,11/27/16,Sunday,13:00,27,21,Home,outdoors,grass,Soldier Field,8,9.94125,173.6796097,CHI,Outdoor,-87.6167,41.8623,353.9,S
194,KC,GB,2019,KC,GB,west,east,GB_KC_2019,east,east,west,west,west,west,east,east,2019_08_GB_KC,REG,8,10/27/19,Sunday,20:20,31,24,Home,outdoors,astroturf,Arrowhead Stadium,6,9.94,340,KC,Outdoor,-94.483889,39.048889,316.3,N
195,MIA,CHI,2018,CHI,MIA,east,,CHI_MIA_2018,east,NA,west,NA,west,NA,east,NA,2018_06_CHI_MIA,REG,6,10/14/18,Sunday,13:00,28,31,Home,outdoors,grass,Hard Rock Stadium,7,9.89,100,MIA,Outdoor,-80.238889,25.958056,302.1,W
196,BUF,MIA,2018,MIA,BUF,east,east,MIA_BUF_2018,east,west,west,east,west,east,east,west,2018_17_MIA_BUF,REG,17,12/30/18,Sunday,13:00,17,42,Home,outdoors,a_turf,New Era Field,7,9.861428571,252.7761279,BUF,Outdoor,-78.787,42.774,302.1,E
197,NYG,TEN,2018,NYG,TEN,south,north,TEN_NYG_2018,north,north,south,south,south,south,north,north,2018_15_TEN_NYG,REG,15,12/16/18,Sunday,13:00,17,0,Home,outdoors,fieldturf,MetLife Stadium,7,9.861428571,18.35476203,NYG/NYJ,Outdoor,-74.074361,40.813528,345.5,N
198,NYJ,MIA,2019,MIA,NYJ,south,north,MIA_NYJ_2019,south,south,north,north,north,north,south,south,2019_14_MIA_NYJ,REG,14,12/8/19,Sunday,13:00,21,22,Home,outdoors,fieldturf,MetLife Stadium,7,9.835714286,177.0659278,NYG/NYJ,Outdoor,-74.074361,40.813528,345.5,S
199,CLE,BAL,2019,BAL,CLE,east,west,BAL_CLI_2019,east,east,west,west,west,west,east,east,2019_16_BAL_CLE,REG,16,12/22/19,Sunday,13:00,31,15,Home,outdoors,grass,FirstEnergy Stadium,7,9.834285714,208.7145515,CLE,Outdoor,-81.699444,41.506111,56.1,S
200,PHI,ARI,2017,PHI,ARI,south,south,ARZ_PHI_2017,north,south,south,north,south,north,north,south,2017_05_ARI_PHI,REG,5,10/8/17,Sunday,13:00,7,34,Home,outdoors,grass,Lincoln Financial Field,12,9.823333333,231.4649738,PHI,Outdoor,-75.1675,39.900833,351,E
201,CHI,CLE,2017,CHI,CLE,north,south,CLI_CHI_2017,south,south,north,north,north,north,south,south,2017_16_CLE_CHI,REG,16,12/24/17,Sunday,13:00,3,20,Home,outdoors,grass,Soldier Field,6,9.818333333,320,CHI,Outdoor,-87.6167,41.8623,353.9,N
202,KC,CIN,2018,KC,CIN,east,west,CIN_KC_2018,west,west,east,east,east,east,west,west,2018_07_CIN_KC,REG,7,10/21/18,Sunday,20:20,10,45,Home,outdoors,grass,Arrowhead Stadium,6,9.786666667,198.338039,KC,Outdoor,-94.483889,39.048889,316.3,S
203,SEA,PHI,2016,PHI,SEA,south,south,PHI_SEA_2016,south,north,north,south,north,south,south,north,2016_11_PHI_SEA,REG,11,11/20/16,Sunday,16:25,15,26,Home,outdoors,fieldturf,CenturyLink Field,6,9.786666667,170.8033784,SEA,Outdoor,-122.3316,47.5952,0,S
204,NYG,WAS,2019,NYG,WAS,south,south,WAS_NYG_2019,north,south,south,north,south,north,north,south,2019_04_WAS_NYG,REG,4,9/29/19,Sunday,13:00,3,24,Home,outdoors,fieldturf,MetLife Stadium,6,9.755,33.20920688,NYG/NYJ,Outdoor,-74.074361,40.813528,345.5,N
205,NE,BUF,2018,NE,BUF,north,north,BUF_NE_2018,south,north,north,south,north,south,south,north,2018_16_BUF_NE,REG,16,12/23/18,Sunday,13:00,12,24,Home,outdoors,fieldturf,Gillette Stadium,14,9.712142857,283.5868158,NE,Outdoor,-71.264,42.091,343,E
206,MIA,CLE,2016,CLE,MIA,west,,CLI_MIA_2016,west,NA,east,NA,east,NA,west,NA,2016_03_CLE_MIA,REG,3,9/25/16,Sunday,13:00,24,30,Home,outdoors,grass,Hard Rock Stadium,7,9.701428571,92.82731017,MIA,Outdoor,-80.238889,25.958056,302.1,W
207,BUF,MIA,2016,MIA,BUF,west,west,MIA_BUF_2016,west,east,east,west,east,west,west,east,2016_16_MIA_BUF,REG,16,12/24/16,Saturday,13:00,34,31,Home,outdoors,a_turf,New Era Field,7,9.694285714,257.1222577,BUF,Outdoor,-78.787,42.774,302.1,E
208,SF,CLE,2019,SF,CLE,north,north,CLI_SF_2019,south,north,north,south,north,south,south,north,2019_05_CLE_SF,REG,5,10/7/19,Monday,20:15,3,31,Home,outdoors,grass,Levi's Stadium,8,9.685,310.1614705,SF,Outdoor,-121.97,37.403,330,E
209,CAR,ATL,2019,CAR,ATL,east,west,ATL_CAR_2019,west,west,east,east,east,east,west,west,2019_11_ATL_CAR,REG,11,11/17/19,Sunday,13:00,29,3,Home,outdoors,grass,Bank of America Stadium,7,9.674285714,24.34773143,CAR,Outdoor,-80.852778,35.225833,322.4,N
210,SF,CAR,2017,SF,CAR,south,north,CAR_SF_2017,north,north,south,south,south,south,north,north,2017_01_CAR_SF,REG,1,9/10/17,Sunday,16:25,23,3,Home,outdoors,grass,Levi's Stadium,12,9.6575,293.3637274,SF,Outdoor,-121.97,37.403,330,E
211,PIT,NE,2016,NE,PIT,south,south,NE_PIT_2016,south,north,north,south,north,south,south,north,2016_07_NE_PIT,REG,7,10/23/16,Sunday,16:25,27,16,Home,outdoors,grass,Heinz Field,6,9.631666667,224.9202088,PIT,Outdoor,-80.015833,40.446667,333.9,S
212,JAX,BAL,2017,JAX,BAL,west,,BAL_JAX_2017,east,NA,west,NA,west,NA,east,NA,2017_03_BAL_JAX,REG,3,9/24/17,Sunday,21:30,7,44,Neutral,outdoors,grass,Wembley Stadium,6,9.601666667,153.3295631,Wembley,Outdoor,-0.279722,51.555833,90,S
213,KC,DEN,2016,KC,DEN,east,west,DEN_KC_2016,west,west,east,east,east,east,west,west,2016_16_DEN_KC,REG,16,12/25/16,Sunday,20:30,10,33,Home,outdoors,grass,Arrowhead Stadium,6,9.601666667,220,KC,Outdoor,-94.483889,39.048889,316.3,S
214,WAS,IND,2018,WAS,IND,east,west,IND_WAS_2018,west,west,east,east,east,east,west,west,2018_02_IND_WAS,REG,2,9/16/18,Sunday,13:00,21,9,Home,outdoors,grass,FedExField,6,9.601666667,66.83416016,WAS,Outdoor,-76.864444,38.907778,295,W
215,CIN,BUF,2016,BUF,CIN,north,south,BUF_CIN_2016,north,north,south,south,south,south,north,north,2016_11_BUF_CIN,REG,11,11/20/16,Sunday,13:00,16,12,Home,outdoors,fieldturf,Paul Brown Stadium,7,9.57,294.4848226,CIN,Outdoor,-84.516,39.095,320.6,E
216,CHI,DET,2018,DET,CHI,south,,DET_CHI_2018,south,NA,north,NA,north,NA,south,NA,2018_10_DET_CHI,REG,10,11/11/18,Sunday,13:00,22,34,Home,outdoors,grass,Soldier Field,7,9.542857143,224.2450096,CHI,Outdoor,-87.6167,41.8623,353.9,S
217,MIA,DEN,2017,DEN,MIA,east,,DEN_MIA_2017,east,NA,west,NA,west,NA,east,NA,2017_13_DEN_MIA,REG,13,12/3/17,Sunday,13:00,9,35,Home,outdoors,grass,Hard Rock Stadium,7,9.542857143,58.62673429,MIA,Outdoor,-80.238889,25.958056,302.1,W
218,TB,DET,2017,TB,DET,south,north,DET_TB_2017,north,north,south,south,south,south,north,north,2017_14_DET_TB,REG,14,12/10/17,Sunday,13:00,24,21,Home,outdoors,grass,Raymond James Stadium,7,9.541428571,332.5915779,TB,Outdoor,-82.503333,27.975833,0,N
219,WAS,PHI,2017,PHI,WAS,east,east,PHI_WAS_2017,east,west,west,east,west,east,east,west,2017_01_PHI_WAS,REG,1,9/10/17,Sunday,13:00,30,17,Home,outdoors,grass,FedExField,7,9.514285714,54.42451231,WAS,Outdoor,-76.864444,38.907778,295,W
