"","home_team","away_team","def_team_q1","def_team_q3","def_direction_q1","def_direction_q3","game_id"
"95","GB","OAK","GB","OAK","north","","OAK_GB_2019"
"96","IND","HST","IND","HST","south","south","HST_IND_2019"
"97","NYG","ARZ","NYG","ARZ","south","south","ARZ_NYG_2019"
"98","WAS","SF","SF","WAS","east","west","SF_WAS_2019"
"99","TEN","LAC","TEN","LAC","north","south","LAC_TEN_2019"
"100","CHI","NO","NO","CHI","north","","NO_CHI_2019"
"101","SEA","MIA","SEA","BLT","south","south","MIA_SEA_2019"
"102","DAL","PHI","DAL","PHI","east","west","PHI_DAL_2019"
"103","NYJ","NE","NYJ","NE","south","south","NE_NYJ_2019"
"104","MIN","WAS","WAS","MIN","east","","WAS_MIN_2019"
"105","ATL","SEA","ATL","SEA","east","west","SEA_ATL_2019"
"106","BUF","PHI","PHI","BUF","west","east","PHI_BUF_2019"
"107","CHI","LAC","CHI","LAC","south","","LAC_CHI_2019"
"108","DET","NYG","DET","NYG","east","west","NYG_DET_2019"
"109","HST","OAK","HST","OAK","south","south","OAK_HST_2019"
"110","JAX","NYJ","NYJ","JAX","south","","NYJ_JAX_2019"
"111","LA","CIN","LA","CIN","east","","CIN_LA_2019"
"112","NO","ARZ","ARZ","NO","north","south","ARZ_NO_2019"
"113","TEN","TB","TEN","TB","south","south","TB_TEN_2019"
"114","SF","CAR","CAR","SF","south","south","CAR_SF_2019"
"115","IND","DEN","DEN","IND","south","south","DEN_IND_2019"
"116","NE","CLI","CLV","NE","south","north","CLI_NE_2019"
"117","KC","GB","KC","GB","west","east","GB_KC_2019"
"118","PIT","BLT","PIT","MIA","south","south","BLT_PIT_2019"
"119","ARZ","SF","SF","ARZ","north","north","SF_ARZ_2019"
"120","JAX","HST","JAX","HST","east","","HST_JAX_2019"
"121","BUF","WAS","BUF","WAS","west","west","WAS_BUF_2019"
"122","CAR","TEN","TEN","CAR","east","","TEN_CAR_2019"
"123","KC","MIN","KC","MIN","east","west","MIN_KC_2019"
"124","BLT","NYJ","MIA","NYJ","west","","NYJ_BLT_2019"
"125","PHI","CHI","PHI","CHI","south","north","CHI_PHI_2019"
"126","PIT","IND","IND","PIT","south","north","IND_PIT_2019"
"127","SEA","TB","SEA","TB","north","south","TB_SEA_2019"
"128","DEN","CLI","CLV","DEN","south","","CLI_DEN_2019"
"129","LAC","GB","GB","LAC","south","north","GB_LAC_2019"
"130","MIA","NE","NE","BLT","west","east","NE_MIA_2019"
"131","NYG","DAL","NYG","DAL","north","south","DAL_NYG_2019"
"132","CHI","DET","CHI","DET","north","","DET_CHI_2019"
"133","CIN","MIA","CIN","BLT","south","","MIA_CIN_2019"
"134","CLI","BUF","BUF","CLV","east","west","BUF_CLI_2019"
"135","GB","CAR","GB","CAR","south","","CAR_GB_2019"
"136","NO","ATL","NO","ATL","south","south","ATL_NO_2019"
"137","NYJ","NYG","NYG","NYJ","south","south","NYG_NYJ_2019"
"138","TB","ARZ","ARZ","TB","south","north","ARZ_TB_2019"
"139","TEN","KC","TEN","KC","north","south","KC_TEN_2019"
"140","IND","BLT","IND","MIA","north","south","BLT_IND_2019"
"141","PIT","LA","LA","PIT","south","north","LA_PIT_2019"
"142","DAL","MIN","MIN","DAL","east","","MIN_DAL_2019"
"143","SF","SEA","SEA","SF","south","south","SEA_SF_2019"
"144","CLI","PIT","CLV","PIT","east","east","PIT_CLI_2019"
"145","MIA","HST","BLT","HST","west","","HST_MIA_2019"
"146","CAR","ATL","CAR","ATL","east","west","ATL_CAR_2019"
"147","DET","DAL","DET","DAL","east","west","DAL_DET_2019"
"148","IND","JAX","IND","JAX","south","south","JAX_IND_2019"
"149","BLT","BUF","MIA","BUF","west","west","BUF_BLT_2019"
"150","MIN","DEN","MIN","DEN","west","","DEN_MIN_2019"
"151","TB","NO","TB","NO","north","south","NO_TB_2019"
"152","WAS","NYJ","WAS","NYJ","east","west","NYJ_WAS_2019"
"153","SF","ARZ","SF","ARZ","north","north","ARZ_SF_2019"
"154","PHI","NE","NE","PHI","north","south","NE_PHI_2019"
"155","LA","CHI","LA","CHI","east","west","CHI_LA_2019"
"156","LAC","KC","KC","LAC","north","","KC_LAC_2019"
"157","HST","IND","HST","IND","north","north","IND_HST_2019"
"158","ATL","TB","TB","ATL","east","west","TB_ATL_2019"
"159","BUF","DEN","BUF","DEN","west","east","DEN_BUF_2019"
